0,1,2,3,4,5,6,7,8,9,10,11,12
1,2022-12-14 17:35:18,-3187680114638134453,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",500725430,9.0,25,0,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
2,2022-12-14 17:35:18,-8529884404514165871,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",500725430,9.0,25,1,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
3,2022-12-14 17:35:19,-3243380458855421419,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",500725430,9.0,25,2,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
4,2022-12-14 17:35:19,-3786072575225447307,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",500725430,9.0,25,3,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
5,2022-12-14 17:36:25,-4736453036307461236,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",823472300,9.0,25,0,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
6,2022-12-14 17:36:25,5516439931590364782,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",823472300,9.0,25,1,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
7,2022-12-14 17:36:26,-5662780794285614761,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",823472300,9.0,25,2,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
8,2022-12-14 17:36:26,3315842236609163517,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",823472300,9.0,25,3,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
9,2022-12-14 17:37:36,3813716111769353494,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1551676583,9.0,25,0,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
10,2022-12-14 17:37:36,4035210170968068742,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1551676583,9.0,25,1,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
11,2022-12-14 17:37:37,668678825337806441,1,A mature poodle toy.,"ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1551676583,9.0,25,2,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
12,2022-12-14 17:39:21,2875589215948659621,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1090724129,9.0,25,0,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
13,2022-12-14 17:39:22,-2670589984212577280,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1090724129,9.0,25,1,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
14,2022-12-14 17:39:22,8108799032975423967,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1090724129,9.0,25,2,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
15,2022-12-14 17:39:22,-7518859584844267242,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",1090724129,9.0,25,3,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
16,2022-12-14 17:40:34,-5582330162815197178,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",827912336,9.0,25,0,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
17,2022-12-14 17:40:34,-1060012392725193862,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",827912336,9.0,25,1,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
18,2022-12-14 17:40:35,-2541750647726621523,2,"An Israeli grad student trying to prove that P = NP, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",827912336,9.0,25,2,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
19,2022-12-14 17:41:40,-2125079002402617011,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",679640627,9.0,25,0,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
20,2022-12-14 17:41:40,-1903584943203901763,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",679640627,9.0,25,1,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
21,2022-12-14 17:41:41,3489360240646968112,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",679640627,9.0,25,2,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
22,2022-12-14 17:41:41,294174744799265100,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",679640627,9.0,25,3,4,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
23,2022-12-14 17:43:07,8573748200157682762,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",969343757,9.0,25,0,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
24,2022-12-14 17:43:08,808859471543052333,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",969343757,9.0,25,1,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
25,2022-12-14 17:43:08,-7675236185548701991,2,"An Israeli PhD student trying to solve AI, 4K","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, mutation, mutated, extra limbs, extra legs, extra arms, disfigured, deformed, cross-eye, body out of frame, blurry, bad art, bad anatomy, blurred, text, watermark, grainy",969343757,9.0,25,2,3,DPMSolverMultistepScheduler,stabilityai/stable-diffusion-2-1
